RM,AGE,DIS,RAD,TAX, CLASS
6.495,94.4,4.4547,4.0,307.0,C1
5.349,96.0,1.7028,24.0,666.0,C1
6.003,94.5,2.5403,24.0,666.0,C1
6.389,48.0,4.7794,3.0,247.0,C2
6.549,51.0,5.9604,4.0,289.0,C2
5.852,77.8,1.5004,24.0,666.0,C1
6.301,83.7,2.7831,24.0,666.0,C1
6.108,32.0,9.2203,1.0,315.0,C2
6.142,91.7,3.9769,4.0,307.0,C1
5.952,84.7,2.8715,24.0,666.0,C1
7.163,79.9,3.2157,8.0,307.0,C2
6.229,91.2,2.5451,5.0,384.0,C1
6.162,38.4,6.27,2.0,348.0,C2
6.436,87.9,2.3158,24.0,666.0,C1
7.135,13.9,7.6534,3.0,402.0,C2
7.088,20.8,7.3073,1.0,285.0,C2
5.985,45.4,4.8122,5.0,224.0,C1
5.949,61.8,4.7075,4.0,307.0,C2
6.209,31.3,7.3172,6.0,293.0,C2
6.459,94.8,1.9879,24.0,666.0,C1
5.427,95.4,2.4298,24.0,666.0,C1
5.536,100.0,1.5804,24.0,666.0,C1
5.966,93.4,6.8185,8.0,284.0,C1
6.453,31.9,7.3073,1.0,300.0,C2
6.98,67.6,2.5329,24.0,666.0,C2
6.957,6.8,8.9067,7.0,330.0,C2
6.715,81.6,2.6775,6.0,432.0,C2
5.594,36.8,6.498,4.0,345.0,C1
6.072,100.0,4.175,4.0,307.0,C1
6.604,18.8,6.2196,1.0,265.0,C2
5.99,81.7,4.2579,4.0,307.0,C1
6.335,98.2,2.1107,4.0,437.0,C1
6.63,56.1,4.4377,3.0,247.0,C2
6.879,77.7,3.2721,8.0,307.0,C2
6.137,87.4,2.7147,5.0,384.0,C1
6.317,83.0,2.7344,24.0,666.0,C1
6.998,45.8,6.0622,3.0,222.0,C2
5.627,93.9,1.8172,24.0,666.0,C1
4.138,100.0,1.1781,24.0,666.0,C1
3.863,100.0,1.5106,24.0,666.0,C2
6.376,88.4,2.5671,24.0,666.0,C1
5.572,88.5,2.5961,5.0,296.0,C2
6.065,7.8,5.2873,4.0,305.0,C2
5.709,98.5,1.6232,5.0,403.0,C1
5.884,18.5,10.7103,4.0,411.0,C1
5.926,42.6,2.3817,6.0,391.0,C2
5.036,97.0,1.77,24.0,666.0,C1
6.153,68.8,3.2797,3.0,193.0,C2
5.628,100.0,1.5166,5.0,403.0,C1
5.794,70.6,2.8927,6.0,391.0,C1
5.277,98.1,1.4261,24.0,666.0,C1
6.167,90.0,2.421,5.0,384.0,C2
5.783,72.7,4.3549,4.0,277.0,C2
6.081,84.4,2.7175,24.0,666.0,C1
5.961,92.9,2.0869,2.0,188.0,C2
6.417,6.6,5.2873,4.0,305.0,C2
5.878,21.4,6.498,4.0,345.0,C2
5.604,89.8,2.9879,3.0,193.0,C2
4.97,100.0,1.3325,24.0,666.0,C2
6.027,79.7,2.4982,6.0,391.0,C1
7.241,49.3,7.0379,1.0,284.0,C2
5.914,83.2,3.9986,4.0,304.0,C1
6.939,34.5,8.7921,1.0,335.0,C2
7.42,71.9,3.0992,7.0,222.0,C2
5.936,19.5,10.5857,4.0,334.0,C2
6.176,72.5,2.7301,6.0,432.0,C2
6.242,64.7,3.4242,24.0,666.0,C2
